N1,N2,N3,ini_d1,ini_d2,ini_d3,sl_str,aud_str,strat1,strat2,fin_d1,fin_d2,fin_d3,fin_b1,fin_b2,fin_b3
1,5,4,4,4,4,0.25,0.25,5,5,3.5,4.46875,3.296875,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.71875,3.96875,4.0,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.75,5.46875,3.609375,4.0,2.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.84375,3.8125,3.984375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,4,4.71875,5.46875,3.859375,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,5.53125,4.84375,5.046875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.9375,4.34375,4.03125,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,5.96875,6.53125,3.984375,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.09375,4.71875,4.578125,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,4,5.78125,6.15625,4.53125,4.0,1.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.625,4.25,4.515625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,5.34375,4.84375,6.0625,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,5.28125,5.125,6.375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,4,4.28125,6.6875,4.109375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,5.78125,5.28125,5.28125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.0625,4.84375,2.515625,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.28125,4.375,2.796875,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,6,4,3.8125,5.96875,3.9375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.15625,4.25,3.796875,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.6875,4.40625,4.515625,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,7.40625,5.78125,6.890625,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,7.15625,4.96875,7.109375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,4,6.15625,5.53125,5.6875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,5.21875,4.6875,5.15625,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.375,4.4375,4.015625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.46875,6.09375,4.84375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.46875,4.25,3.671875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,6.3125,4.875,5.875,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.03125,4.4375,4.0625,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,5.59375,5.34375,6.21875,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,6,4,4.625,7.375,4.25,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.28125,3.96875,4.015625,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,4,5.5,5.375,3.34375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.3125,3.78125,3.5625,4.0,1.25,4.0
1,5,4,4,4,4,0.25,0.25,6,4,2.75,6.5625,3.875,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,5.75,4.46875,6.5,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,5.59375,4.46875,4.6875,4.0,1.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.375,5.40625,3.3125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,6.90625,4.5,6.28125,4.0,1.5,4.0
